quarter,level_1,value
1975-Q1,Residential Properties,8.9
1975-Q2,Residential Properties,9.1
1975-Q3,Residential Properties,9.1
1975-Q4,Residential Properties,9.1
1976-Q1,Residential Properties,9.5
1976-Q2,Residential Properties,9.5
1976-Q3,Residential Properties,9.8
1976-Q4,Residential Properties,9.5
1977-Q1,Residential Properties,9.5
1977-Q2,Residential Properties,9.5
1977-Q3,Residential Properties,9.5
1977-Q4,Residential Properties,9.1
1978-Q1,Residential Properties,9.1
1978-Q2,Residential Properties,9.5
1978-Q3,Residential Properties,9.5
1978-Q4,Residential Properties,9.8
1979-Q1,Residential Properties,10.4
1979-Q2,Residential Properties,10.9
1979-Q3,Residential Properties,11.9
1979-Q4,Residential Properties,12.7
1980-Q1,Residential Properties,15.1
1980-Q2,Residential Properties,17.7
1980-Q3,Residential Properties,20.4
1980-Q4,Residential Properties,23.9
1981-Q1,Residential Properties,30.5
1981-Q2,Residential Properties,34.6
1981-Q3,Residential Properties,34
1981-Q4,Residential Properties,32.2
1982-Q1,Residential Properties,32
1982-Q2,Residential Properties,32.8
1982-Q3,Residential Properties,33.5
1982-Q4,Residential Properties,34.6
1983-Q1,Residential Properties,36.1
1983-Q2,Residential Properties,37.2
1983-Q3,Residential Properties,37.5
1983-Q4,Residential Properties,37.5
1984-Q1,Residential Properties,37.2
1984-Q2,Residential Properties,35.5
1984-Q3,Residential Properties,34.6
1984-Q4,Residential Properties,33.1
1985-Q1,Residential Properties,31
1985-Q2,Residential Properties,30.2
1985-Q3,Residential Properties,28.7
1985-Q4,Residential Properties,28.1
1986-Q1,Residential Properties,26.3
1986-Q2,Residential Properties,23.9
1986-Q3,Residential Properties,25.3
1986-Q4,Residential Properties,27.9
1987-Q1,Residential Properties,28.5
1987-Q2,Residential Properties,29.7
1987-Q3,Residential Properties,32
1987-Q4,Residential Properties,32
1988-Q1,Residential Properties,31.4
1988-Q2,Residential Properties,32.2
1988-Q3,Residential Properties,32.6
1988-Q4,Residential Properties,34
1989-Q1,Residential Properties,34.5
1989-Q2,Residential Properties,35.5
1989-Q3,Residential Properties,37.7
1989-Q4,Residential Properties,38.3
1990-Q1,Residential Properties,40.9
1990-Q2,Residential Properties,41.8
1990-Q3,Residential Properties,42
1990-Q4,Residential Properties,40.3
1991-Q1,Residential Properties,42.1
1991-Q2,Residential Properties,45.6
1991-Q3,Residential Properties,46.8
1991-Q4,Residential Properties,47.6
1992-Q1,Residential Properties,49.9
1992-Q2,Residential Properties,51.8
1992-Q3,Residential Properties,53.8
1992-Q4,Residential Properties,55.3
1993-Q1,Residential Properties,58.3
1993-Q2,Residential Properties,64.9
1993-Q3,Residential Properties,71.1
1993-Q4,Residential Properties,75.1
1994-Q1,Residential Properties,82.1
1994-Q2,Residential Properties,93.6
1994-Q3,Residential Properties,104.5
1994-Q4,Residential Properties,106.9
1995-Q1,Residential Properties,109.8
1995-Q2,Residential Properties,111.1
1995-Q3,Residential Properties,112.7
1995-Q4,Residential Properties,117.9
1996-Q1,Residential Properties,122.3
1996-Q2,Residential Properties,129.7
1996-Q3,Residential Properties,127.2
1996-Q4,Residential Properties,123.7
1997-Q1,Residential Properties,119.2
1997-Q2,Residential Properties,118.2
1997-Q3,Residential Properties,113
1997-Q4,Residential Properties,108.4
1998-Q1,Residential Properties,98.3
1998-Q2,Residential Properties,90.1
1998-Q3,Residential Properties,78.3
1998-Q4,Residential Properties,71.5
1999-Q1,Residential Properties,75.4
1999-Q2,Residential Properties,84.3
1999-Q3,Residential Properties,91.1
1999-Q4,Residential Properties,95.9
2000-Q1,Residential Properties,98.9
2000-Q2,Residential Properties,100.4
2000-Q3,Residential Properties,97.6
2000-Q4,Residential Properties,94.9
2001-Q1,Residential Properties,91.1
2001-Q2,Residential Properties,90.3
2001-Q3,Residential Properties,87.6
2001-Q4,Residential Properties,83.8
2002-Q1,Residential Properties,82.8
2002-Q2,Residential Properties,82.2
2002-Q3,Residential Properties,82.6
2002-Q4,Residential Properties,82.3
2003-Q1,Residential Properties,81.6
2003-Q2,Residential Properties,81.1
2003-Q3,Residential Properties,80.7
2003-Q4,Residential Properties,80.6
2004-Q1,Residential Properties,80.3
2004-Q2,Residential Properties,80.4
2004-Q3,Residential Properties,80.7
2004-Q4,Residential Properties,81.3
2005-Q1,Residential Properties,81.9
2005-Q2,Residential Properties,82.3
2005-Q3,Residential Properties,83.3
2005-Q4,Residential Properties,84.5
2006-Q1,Residential Properties,85.8
2006-Q2,Residential Properties,87.3
2006-Q3,Residential Properties,89.6
2006-Q4,Residential Properties,93.1
2007-Q1,Residential Properties,97.6
2007-Q2,Residential Properties,105.6
2007-Q3,Residential Properties,114.4
2007-Q4,Residential Properties,122.1
2008-Q1,Residential Properties,126.7
2008-Q2,Residential Properties,126.9
2008-Q3,Residential Properties,123.9
2008-Q4,Residential Properties,116.4
2009-Q1,Residential Properties,100
2009-Q2,Residential Properties,95.3
2009-Q3,Residential Properties,110.3
2009-Q4,Residential Properties,118.4
2010-Q1,Residential Properties,125.1
2010-Q2,Residential Properties,131.7
2010-Q3,Residential Properties,135.5
2010-Q4,Residential Properties,139.2
2011-Q1,Residential Properties,142.3
2011-Q2,Residential Properties,145.1
2011-Q3,Residential Properties,147
2011-Q4,Residential Properties,147.4
2012-Q1,Residential Properties,147.2
2012-Q2,Residential Properties,147.9
2012-Q3,Residential Properties,148.8
2012-Q4,Residential Properties,151.5
2013-Q1,Residential Properties,152.4
2013-Q2,Residential Properties,154
2013-Q3,Residential Properties,154.6
2013-Q4,Residential Properties,153.2
2014-Q1,Residential Properties,151.3
2014-Q2,Residential Properties,149.7
2014-Q3,Residential Properties,148.6
2014-Q4,Residential Properties,147
2015-Q1,Residential Properties,145.5
2015-Q2,Residential Properties,144.2
2015-Q3,Residential Properties,142.3
2015-Q4,Residential Properties,141.6
2016-Q1,Residential Properties,140.6
2016-Q2,Residential Properties,140
2016-Q3,Residential Properties,137.9
2016-Q4,Residential Properties,137.2
2017-Q1,Residential Properties,136.7
2017-Q2,Residential Properties,136.6
2017-Q3,Residential Properties,137.6
2017-Q4,Residential Properties,138.7
2018-Q1,Residential Properties,144.1
2018-Q2,Residential Properties,149
